Unnamed: 0,Order ID,Customer Name,Order Amount,Order Date
844,845,Customer 845,1498.71,2023-12-22
3,4,Customer 4,1496.6,2024-04-30
292,293,Customer 293,1494.56,2024-05-13
181,182,Customer 182,1494.41,2024-08-28
793,794,Customer 794,1493.42,2023-11-28
498,499,Customer 499,1492.58,2024-05-02
822,823,Customer 823,1491.1,2024-01-16
892,893,Customer 893,1490.14,2024-04-19
976,977,Customer 977,1487.01,2024-08-24
171,172,Customer 172,1486.02,2024-08-17
772,773,Customer 773,1484.7,2024-07-03
259,260,Customer 260,1484.06,2023-11-21
261,262,Customer 262,1481.51,2024-08-22
926,927,Customer 927,1481.39,2024-01-30
8,9,Customer 9,1476.29,2024-01-10
87,88,Customer 88,1475.96,2024-06-09
506,507,Customer 507,1475.68,2024-09-06
485,486,Customer 486,1473.82,2024-05-10
84,85,Customer 85,1468.17,2023-11-15
558,559,Customer 559,1468.07,2024-04-04
587,588,Customer 588,1467.7,2024-05-26
337,338,Customer 338,1464.56,2024-06-25
221,222,Customer 222,1463.57,2024-03-10
568,569,Customer 569,1461.09,2024-06-26
216,217,Customer 217,1458.79,2024-07-06
154,155,Customer 155,1458.55,2024-01-28
430,431,Customer 431,1458.39,2024-04-10
913,914,Customer 914,1458.1,2024-04-29
718,719,Customer 719,1457.61,2024-04-25
339,340,Customer 340,1456.39,2024-03-08
124,125,Customer 125,1455.33,2024-08-01
966,967,Customer 967,1454.43,2024-06-22
219,220,Customer 220,1450.8,2023-11-30
555,556,Customer 556,1450.33,2023-11-01
742,743,Customer 743,1445.4,2024-02-25
83,84,Customer 84,1444.19,2024-01-06
744,745,Customer 745,1443.39,2024-07-11
750,751,Customer 751,1442.34,2023-12-03
435,436,Customer 436,1441.29,2024-01-29
509,510,Customer 510,1441.07,2024-05-08
690,691,Customer 691,1437.13,2024-08-20
774,775,Customer 775,1436.16,2024-05-19
204,205,Customer 205,1434.63,2023-11-18
133,134,Customer 134,1434.06,2024-04-20
324,325,Customer 325,1430.99,2023-11-03
9,10,Customer 10,1430.78,2024-08-14
752,753,Customer 753,1429.0,2024-02-22
859,860,Customer 860,1425.3,2024-03-09
799,800,Customer 800,1419.14,2024-02-14
304,305,Customer 305,1418.64,2024-05-29
26,27,Customer 27,1416.83,2024-04-29
644,645,Customer 645,1415.47,2024-08-27
725,726,Customer 726,1415.41,2024-04-14
18,19,Customer 19,1413.79,2024-10-17
116,117,Customer 117,1413.11,2023-11-29
382,383,Customer 383,1411.89,2024-05-02
656,657,Customer 657,1409.88,2024-10-20
810,811,Customer 811,1406.38,2024-10-07
326,327,Customer 327,1405.35,2024-10-04
211,212,Customer 212,1403.02,2024-04-14
853,854,Customer 854,1402.52,2024-09-12
963,964,Customer 964,1402.17,2023-11-01
113,114,Customer 114,1400.81,2024-10-26
827,828,Customer 828,1400.52,2024-04-15
535,536,Customer 536,1399.95,2024-07-09
311,312,Customer 312,1398.89,2024-07-25
407,408,Customer 408,1397.87,2023-12-08
347,348,Customer 348,1396.25,2024-08-15
852,853,Customer 853,1392.73,2024-09-18
279,280,Customer 280,1391.4,2024-10-03
159,160,Customer 160,1390.24,2024-08-12
106,107,Customer 107,1386.38,2024-03-22
670,671,Customer 671,1385.89,2024-04-21
762,763,Customer 763,1385.84,2024-09-21
440,441,Customer 441,1382.55,2024-08-06
467,468,Customer 468,1378.43,2023-11-05
739,740,Customer 740,1376.2,2024-02-16
647,648,Customer 648,1375.97,2023-11-28
682,683,Customer 683,1372.72,2023-12-30
780,781,Customer 781,1370.88,2024-06-16
448,449,Customer 449,1369.93,2024-10-13
696,697,Customer 697,1369.92,2024-09-29
6,7,Customer 7,1368.98,2024-06-01
608,609,Customer 609,1368.51,2024-02-24
968,969,Customer 969,1367.14,2024-03-02
135,136,Customer 136,1364.59,2024-09-08
437,438,Customer 438,1360.35,2024-09-22
403,404,Customer 404,1359.71,2024-02-16
765,766,Customer 766,1358.29,2024-04-19
